Nodo,CODIGO COMPLETO,Poblacion total,Poblacion de 0 a 14 anos,Poblacion de 60 anos y mas,Poblacion femenina de 15 a 49 anos,Poblacion con discapacidad,Poblacion no vulnerable,Columna1,Longitud,Latitud,Demanda
1,1903600010135001,4,0,0,0,0,4,"-100.120075853908332, 23.423338216343620",-100.120075853908,23.4233382163436,1
2,1903600010101018,3,0,0,0,0,3,"-100.114082586446855, 23.426460859348921",-100.114082586446,23.4264608593489,1
3,1903600010101019,12,3,0,5,0,4,"-100.119584180045919, 23.426722689051278",-100.119584180045,23.4267226890512,3
4,1903600010101020,5,0,0,0,0,5,"-100.118661500142622, 23.426466733089448",-100.118661500142,23.4264667330894,1
5,1903600010101021,6,0,0,0,0,6,"-100.117717362568413, 23.426368288356436",-100.117717362568,23.4263682883564,2
6,1903600010101022,9,0,0,0,0,9,"-100.116859055686845, 23.426191087652825",-100.116859055686,23.4261910876528,2
7,1903600010101023,7,0,0,0,0,7,"-100.119670010729592, 23.425757929377998",-100.119670010729,23.4257579293779,2
8,1903600010101024,18,5,5,3,0,5,"-100.118876076860772, 23.425718551282358",-100.11887607686,23.4257185512823,4
9,1903600010101025,16,0,5,5,0,6,"-100.117910481615638, 23.425541349708102",-100.117910481615,23.4255413497081,4
10,1903600010101026,11,0,0,0,0,11,"-100.117030717063159, 23.425344458791812",-100.117030717063,23.4253444587918,3
11,1903600010101027,8,0,0,0,0,8,"-100.119812423068041, 23.425130973930905",-100.119812423068,23.4251309739309,2
12,1903600010101028,0,0,0,0,0,0,"-100.118911200835669, 23.424855325709974",-100.118911200835,23.4248553257099,0
13,1903600010101029,22,6,4,3,0,9,"-100.117988520941367, 23.424638744562671",-100.117988520941,23.4246387445626,5
14,1903600010101030,11,5,0,0,0,6,"-100.117130214050817, 23.424481230777538",-100.11713021405,23.4244812307775,3
15,1903600010101031,8,0,0,0,0,8,"-100.119925203479724, 23.424262505032441",-100.119925203479,23.4242625050324,2
16,1903600010101032,9,0,0,0,0,9,"-100.119045438918263, 23.424085301507144",-100.119045438918,23.4240853015071,2
17,1903600010101033,24,7,5,5,0,7,"-100.118122759023947, 23.423789961770680",-100.118122759023,23.4237899617706,5
18,1903600010101034,16,5,3,4,0,4,"-100.117178621449739, 23.423632446974612",-100.117178621449,23.4236324469746,4
19,1903600010101035,0,0,0,0,0,0,"-100.118202459496317, 23.430575783798901",-100.118202459496,23.4305757837989,0
20,1903600010101036,8,3,0,0,0,5,"-100.117215406580272, 23.429630740708241",-100.11721540658,23.4296307407082,2
21,1903600010101037,27,12,0,7,0,8,"-100.116571676416854, 23.429473232869459",-100.116571676416,23.4294732328694,6
22,1903600010101038,0,0,0,0,0,0,"-100.115541708150005, 23.429296036326839",-100.11554170815,23.4292960363268,0
23,1903600010101042,0,0,0,0,0,0,"-100.121592771689734, 23.427976899044701",-100.121592771689,23.4279768990447,0
25,1903600010101044,20,3,6,4,0,7,"-100.116550218736947, 23.428744756675041",-100.116550218736,23.428744756675,4
26,1903600010101045,0,0,0,0,0,0,"-100.115498792808168, 23.428469115988005",-100.115498792808,23.428469115988,0
27,1903600010101047,0,0,0,0,0,0,"-100.118760358967094, 23.431048302811032",-100.118760358967,23.431048302811,0
